method	auroc	auprc	P@10	R@10	P@50	R@50	P@100	R@100	thr@fpr0.01	prec@fpr0.01	rec@fpr0.01	f1@fpr0.01	thr@fpr0.05	prec@fpr0.05	rec@fpr0.05	f1@fpr0.05	thr@fpr0.1	prec@fpr0.1	rec@fpr0.1	f1@fpr0.1
Random-K	0.358345	0.415758	0.1	0.000771605	0.22	0.00848765	0.32	0.0246914	0.928628	0.0909091	0.00154321	0.0030349	0.913077	0.290698	0.0192901	0.0361795	0.903603	0.331579	0.0486111	0.0847914
Rarity-only	0.869431	0.879063	1	0.00771605	1	0.0385802	1	0.0771605	8.08703	1	0.443673	0.614645	8.08703	1	0.443673	0.614645	7.98305	0.844612	0.520062	0.643744
Raw PGExplainer	0.424769	0.45571	0.1	0.000771605	0.42	0.0162037	0.32	0.0246914	-1.89409e-13	0	0	nan	-1.89409e-13	0	0	nan	-1.89409e-13	0	0	nan
HetHunt+rarity	0.862696	0.866043	1	0.00771605	1	0.0385802	1	0.0771605	2.42611	0.973029	0.361883	0.527559	2.42003	0.883895	0.364198	0.515847	2.36225	0.837975	0.510802	0.634708
