method	auroc	auprc	P@10	R@10	P@50	R@50	P@100	R@100	thr@fpr0.01	prec@fpr0.01	rec@fpr0.01	f1@fpr0.01	thr@fpr0.05	prec@fpr0.05	rec@fpr0.05	f1@fpr0.05	thr@fpr0.1	prec@fpr0.1	rec@fpr0.1	f1@fpr0.1
Random-K	0.358345	0.415758	0.1	0.000771605	0.22	0.00848765	0.32	0.0246914	0.928628	0.0909091	0.00154321	0.0030349	0.913077	0.290698	0.0192901	0.0361795	0.903603	0.331579	0.0486111	0.0847914
Raw model probability	0.825211	0.826461	1	0.00771605	0.98	0.0378086	0.97	0.0748457	0.886641	0.9375	0.173611	0.292969	0.766407	0.876689	0.400463	0.549788	0.563172	0.852023	0.568673	0.682092
Rarity-only	0.869431	0.879063	1	0.00771605	1	0.0385802	1	0.0771605	8.08703	1	0.443673	0.614645	8.08703	1	0.443673	0.614645	7.98305	0.844612	0.520062	0.643744
HetHunt raw	0.357043	0.431533	0.4	0.00308642	0.46	0.0177469	0.49	0.0378086	4.94066e-324	nan	0	nan	4.94066e-324	nan	0	nan	4.94066e-324	nan	0	nan
HetHunt + filtering	0.278703	0.392372	0.5	0.00385802	0.46	0.0177469	0.44	0.0339506	4.94066e-324	nan	0	nan	4.94066e-324	nan	0	nan	4.94066e-324	nan	0	nan
HetHunt + filtering + rarity	0.875588	0.880037	1	0.00771605	1	0.0385802	1	0.0771605	2.42611	1	0.381173	0.551955	2.42003	0.890815	0.396605	0.548852	2.35743	0.858609	0.581019	0.693051
