method	auroc	auprc	P@10	R@10	P@50	R@50	P@100	R@100	thr@fpr0.01	prec@fpr0.01	rec@fpr0.01	f1@fpr0.01	thr@fpr0.05	prec@fpr0.05	rec@fpr0.05	f1@fpr0.05	thr@fpr0.1	prec@fpr0.1	rec@fpr0.1	f1@fpr0.1
Random-K	0.358345	0.415758	0.1	0.000771605	0.22	0.00848765	0.32	0.0246914	0.928628	0.0909091	0.00154321	0.0030349	0.913077	0.290698	0.0192901	0.0361795	0.903603	0.331579	0.0486111	0.0847914
Rarity-only	0.628125	0.592003	0.7	0.00540123	0.6	0.0231481	0.6	0.0462963	5	nan	0	nan	5	nan	0	nan	5	nan	0	nan
Raw PGExplainer	0.424769	0.45571	0.1	0.000771605	0.42	0.0162037	0.32	0.0246914	-1.89409e-13	0	0	nan	-1.89409e-13	0	0	nan	-1.89409e-13	0	0	nan
HetHunt+rarity	0.631763	0.634348	0.7	0.00540123	0.9	0.0347222	0.82	0.0632716	1.5	0.827957	0.0594136	0.110871	1.5	0.780488	0.17284	0.283007	1.5	0.657459	0.183642	0.287093
