method	auroc	auprc	P@10	R@10	P@50	R@50	P@100	R@100	thr@fpr0.01	prec@fpr0.01	rec@fpr0.01	f1@fpr0.01	thr@fpr0.05	prec@fpr0.05	rec@fpr0.05	f1@fpr0.05	thr@fpr0.1	prec@fpr0.1	rec@fpr0.1	f1@fpr0.1
Random-K	0.0795492	0.185192	0	0	0	0	0	0	0.999294	0	0	nan	0.996207	0	0	nan	0.991287	0	0	nan
Raw model probability	0.916565	0.745394	0.1	0.00251889	0.4	0.0503778	0.7	0.176322	0.842568	0.0714286	0.00251889	0.00486618	0.840677	0.785714	0.415617	0.543657	0.800768	0.745946	0.695214	0.719687
Rarity-only	0.584599	0.385811	0	0	0	0	0.17	0.0428212	1.2	0	0	nan	1.2	0	0	nan	0.577996	0.37037	0.125945	0.18797
HetHunt raw	0.494792	0.3176	0	0	0.1	0.0125945	0.16	0.0403023	-2.7183e-06	0	0	nan	-2.71832e-06	0	0	nan	-2.71832e-06	0	0	nan
HetHunt + filtering	0.602964	0.438403	0	0	0	0	0	0	-0.00236859	0	0	nan	-0.00508112	0	0	nan	-0.0094406	0	0	nan
HetHunt + filtering + rarity	0.647878	0.438585	0	0	0	0	0	0	-0.00236859	0	0	nan	-0.00508112	0	0	nan	-0.0094406	0	0	nan
